Nome,CodiceNAV
Bussola Ø 32 esagonale 1/2",977084
Bussola Ø 32 esagonale 3/4",994069
Bussola Ø 34 esagonale 1/2",977086
Bussola Ø 36 esagonale 1/2",977087
Bussola Ø 41 esagonale 1/2",970210
Bussola Ø 41 esagonale 3/4",970301
Bussola Ø 46 esagonale 3/4",977091
Bussola rinf l 95 mm Ø 46 da 3/4",970231
Bussola rinf Ø 36 esagonale 3/4" - l 95 mm,991287
Bussola RINF. 50 3/4",970232
Bussola SC SM SPX,971171
CACCIAVITE A CROCE,977093
CACCIAVITE A TAGLIO,977094
CACCIAVITE esagonale 20X10,881250
CALDARELLA DA MURATORE,977102N
Calibro classico,977103
Calibro Digitale,970236
Calza di testa RINFORZATA CONDUTTORE Ø 17-29 mm Rossa,994137
Calza di testa RINFORZATA CONDUTTORE Ø 29-38 mm  Verde,970003
Calza di testa RINFORZATA CONDUTTORE Ø 8-17 mm Gialla,977111
Calza Doppia RINFORZATA GIUNZIONE CONDUTTORE Ø 17-29 mm Rossa,970005
Calza Doppia RINFORZATA GIUNZIONE CONDUTTORE Ø 29-38 mm Verde,970004
Calza Doppia RINFORZATA GIUNZIONE CONDUTTORE Ø 8-17 mm Gialla,970006
CANALETTA PVC CH.C.COP. 75X75,20105K006
CANALETTA VTR ENEL R.50 da 3 m C/ASOLE BANDIT,994536
CANNELLO A GAS PORTATILE,977117
CANNELLO A GAS RICARICABILE,881366
CANNELLO A GAS ROTHEMBERGER CON BOMBOLA,977118
CAPICORD.BIM.MT ELICORD 120 mm² M12 C/INSERTO RAME,999749
CAPICORD.BIM.MT ELICORD 240 mm² M12 C/INSERTO RAME,999750
CAPICORDA CEMBRE NUDO 50  mm² FORO 12,978083
CAPICORDA MECC. CAVO 95-240,SE0000278
CAPICORDA OCCHIELLO NUDO 95 mm² Ø 12,S70007466
CAPICORDA RAME COLLETTO LUNGO Ø 95  mm²  Ø 10 mm,971307
CAPICORDA RAME Ø 25  mm² Ø 10,971305
CAPICORDA RAME Ø 35-12,978085
CAPICORDA RAME Ø 50-12,978086
CAPICORDA RAME Ø 70  mm² Ø 10 mm,971306
CAPICORDA RAME Ø 70 mm²-M12,978087
CAPICORDA RAME Ø 70 mm²-VITE 14 mm,978088
CAPICORDA RAME Ø 95-12,978089
CAPOCORDA COLLET. LUNGO SEZ. 120 mm²,971420
CAPOCORDA COLLETTO LUNGO SEZ.150 mm² VITE 14,971315
CAPOCORDA SER. MEC SEZ. 185-400 mm² CONDUT. CU/AL,971030
CAPOCORDA SER. MEC SEZ. 240-400 mm² CONDUT. CU/AL,971036
capocorda sez 25 mm² vite 12 mm,971402
capocorda sez 50 mm² vite 12 mm,971403
CAPOCORDA SEZ. 240 mm² VITE 16 mm,971049
CAPOCORDA SEZ.120 mm² VITE 10 mm CEMBRE A24-M10,S70012782
CAPOCORDA SEZ.240 mm² VITE 12 mm,S70015458
CAPPELLO CIMINO TRALICCIO,978095
CARICA BATTERIA RADIO MIDLAND,882599A5
CARICA BATTERIA RADIO MOTOROLA,882599A4
Carica batteria TRAPANO AVVITATORE HIKOKI,970190A3
CARICABAT. STAZION. TOT. SOKKIA TBCDC40,970271
CARICABATTERIA PER ATREZZI HILTI STANDARD PER TUTTI,977666A2
Caricabatterie per Punzonatrice a batteria,990933A
CARRIOLA IN FERRO RUOTA PNEUMATICA,991815
CARROZINO A Y GRANDI,
CARROZINO ANGOLARE,
Carrozzino 2 RUOTE PALI SOSP.C/PROTEZ.RUOTE,994187
Carrozzino angolare posa cavo,977121
Carrozzino ANTISTRAPPO A 2 GIREVOLI (DOPPIO) NERO trinagolare,977123
Carrozzino COASSIALE DOPPIO RULLO VERTICALE,970117
Carrozzino di Escursione,977124
Carrozzino DOPPIO PER COASSIALE SU FUNI DI GUARDIA E CONDUTTORI RUOTA DA 60 VERDI ruote distanziate,977126
Carrozzino DOPPIO PER COASSIALE SU FUNI DI GUARDIA E CONDUTTORI RUOTA DA 80 NERI,97712A80
Carrozzino DOPPIO PER COASSIALE SU FUNI DI GUARDIA RUOTA DA 60 VERDI ruote vicine,977126A
Carrozzino LINEARE POSA CAVO,977125
Carrozzino POSA CAVO GRANDI A Y,977127
Carrozzino POSA CAVO PICCOLI A Y,977128
Carrozzino PRECORDATO,977124A1
Carrozzino PROTEZIONE RUOTA SINGOLA CON GANCIO ( 2 5 6 7 ) ruota da 60,A666666A11
Carrozzino SINGOLO POSA CAVI,977129
carrucola antistrappo sist apert sgancio wl 26kN bl 78 kN,979039
Carrucola Ø 1000 mm Gola LARGA 95 mm  senza protezione,979015
Carrucola Ø 350 mm Gola STRETTA 48 mm con protezione,979015A350
Carrucola Ø 500 mm Gola STRETTA 68 mm senza protezione,979015A500
Carrucola Ø 500 mm Gola STRETTA 68 mm con protezione ,979015A501
Carrucola Ø 650  mm CON MESSA A TERRA ( si usano all'estero Francia ),979028
Carrucola Ø 650  mm Gola STRETTA 68  mm con protezioni,979015A603
Carrucola Ø 650 mm Gola STRETTA 68 mm senza protezione ,979015A600
Carrucola Ø 650L mm Gola LARGA 95 mm senza protezione,979015A601
Carrucola Ø 800 mm Gola STRETTA 68 mm  senza protezione  ex codice 979015A800,979033
Carrucola Ø 800L mm Gola LARGA PER ELICOTTERO,979016
Carrucola Ø 800L mm Gola LARGA  95 mm senza protezione  ,979015A802
carrucola rinvio ruota plastica -diam 185 mm -50 kN- fune 28 mm peso 12 kg,970476
CARRUCOLA STEND.CONDUTT.RUOTA ALL.C/GANC.SICUR,995534
carta assorbente economica in rotolo,998205
carta vetrata,991397
Cartello 60x40 "inizio cantiere",991897
Cartello a righe diagonali bianche e rosse per cantiere barriera di delimitazione,991909A1
Cartello carichi sporgenti all.500x500,991980
Cartello carico sporgente,881364
Cartello corsia unica/deviazione,991905
Cartello da cantiere "cavi in tensione" anche codice 971177,977131
